Member State,Date of Constitution,Last Reform Date,E-Voting (yes/no),Form of voting,Electoral law,URL Electoral Law,EU accession date,Schengen member,Eurozone member,Comment,,,,,,,
Austria,"October 1, 1920","July 25, 2012",0,0,0,https://www.legislationline.org/download/id/6549/file/Austria_Law_National_Council_elections_1992_am2016_de_en.pdf,"January 1, 1995",Yes,Yes,"first steps to electronic communication with public bodies is regulated by an 
E-Government Act",,,,,,,
Belgium,"February 7, 1831","April 22, 2019",0,0,0,https://www.legislationline.org/download/id/5841/file/Belgium_ELECTORAL%20CODE%20as%20of%202014_en.pdf,"March 25, 1957",Yes,Yes,"Electronic counting regulated in law on automatic voting; 
digital transmission of counted ballots, results & protocols",,,,,,,
Bulgaria,"July 13, 1991","December 18, 2015",0,2,1,https://www.legislationline.org/download/id/9467/file/BULG_Election%20Code.pdf,"January 1, 2007",No,No,,,,,,,,
Croatia,"December 22, 1990","December 1, 2013",0,0,0,https://www.legislationline.org/download/id/7663/file/Croatia_Parliamentary_Elections_Act_2003_am2015_en.pdf,"July 1, 2013",No,No,,,,,,,,
Cyprus,"August 16, 1960","September 16, 2020",0,0,0,https://www.legislationline.org/download/id/7667/file/Cyprus_Law_elections_members_house_representatives_1979_am2016_en.pdf,"May 1, 2004",No,Yes,"source only partly translated, therefore keyword search including greek translations: 
device (syskeví), digital (psifiakó), electronic (ilektronikós), internet (Diadíktyo), machine (michaní), online (Se sýndesi)",,,,,,,
Czechia,"January 1, 1993","June 1, 2013",0,0,0,https://www.legislationline.org/download/id/7401/file/Czech%20Law%20on%20Parliamentary%20elections%20as%20of%202017_EN.pdf,"May 1, 2004",Yes,No,,,,,,,,
Denmark,"June 5, 1953",2009,0,0,0,https://www.legislationline.org/download/id/9472/file/DENM_parliamentary%20elections%20act.pdf,"January 1, 1973",Yes,No,,,,,,,,
Estonia,"July 3, 1992",2015,0,1,1,https://www.legislationline.org/download/id/8941/file/ELE_EST_Riikogu%20Election%20Code%20of%202002%20as%20of%2001%2001%202021_eng.pdf,"May 1, 2004",Yes,Yes,"electronic voting on all levels: 
municipal council election, national parliament and european parliament election",,,,,"municipal 
election","national
parliament","european
parliament"
Finland,"March 1, 2000","October 15, 2018",0,0,0,https://www.legislationline.org/download/id/7825/file/Finland_Election_Act_1998_am2016_en.pdf,"January 1, 1995",Yes,Yes,electoral rolls may be delivered in electronic form,,,,,,,
France,"October 4, 1958","July 21, 2008",0,"1, 2",1,https://www.legislationline.org/download/id/8893/file/France_electoral_code_am_2020_fr.pdf,"March 25, 1957",Yes,Yes,"electoral law regulates both kinds of voting: ""by voting machine and electronic postal voting""
use of following keywords, since the law is only available in french:
device (appareil), digital (digital/numérique), electronic (électronique), internet, online (en ligne), machine",,,,,,,
Germany,"May 24, 1949","September 29, 2020",0,2,1,https://www.bundeswahlleiter.de/dam/jcr/2596ba8d-34e4-4c9b-a731-a27f8fb0618f/bundeswahlgesetz.pdf,"March 25, 1957",Yes,Yes,"Federal Election Law and European Election Act (EuWG) allow for use of 
voting machines, jurisdiction of Federal Constitutional Court (BVerfG) requires adjustment
use of original legislative text therefore following keywords:
device (Gerät), digital, electronic (elektronisch), internet, machine (Maschine), online",,,,,EuWG,"Bundeswahl-
geräteverordnung","jurisdiction 
BVerfG "
Greece,"June 11, 1975","May 27, 2008",0,0,0,https://www.legislationline.org/download/id/7827/file/Greece_Law_election_parliament_as_of_2007_en.pdf,"January 1, 1981",Yes,Yes,,,,,,,,
Hungary,"January 1, 2012","December 23, 2020",0,0,0,https://www.legislationline.org/download/id/9476/file/HUNG_on%20electoral%20procedure.pdf,"May 1, 2004",Yes,No,,,,,,,,
